timestamp,shift,inflow_m3,outflow_m3,is_backwash,turbidity_ntu,ph_air_baku,pac_used_kg,pac_ideal_kg,water_loss_m3,loss_percentage,status_neraca_air,pac_waste_kg,waste_cost_idr,turbidity_category
2026-08-01 00:00:00,Shift 3 (Malam),8774.51,8531.1,0,89.0,7.05,271.25,230.29,243.40999999999985,2.774058038568534,Normal,40.96000000000001,266240.00000000006,Sedang (50-150 NTU)
2026-08-01 01:00:00,Shift 3 (Malam),8679.26,8056.4,1,39.7,7.38,157.07,159.29,622.8600000000006,7.176418266073381,Normal (Proses Backwash),0.0,0.0,Rendah (<50 NTU)
2026-08-01 02:00:00,Shift 3 (Malam),8797.15,8523.58,0,84.1,6.83,267.42,223.96,273.5699999999997,3.1097571372546757,Normal,43.46000000000001,282490.00000000006,Sedang (50-150 NTU)
2026-08-01 03:00:00,Shift 3 (Malam),8928.45,8674.07,0,72.5,7.19,217.88,210.78,254.38000000000102,2.8490947476885795,Normal,7.099999999999994,46149.99999999996,Sedang (50-150 NTU)
2026-08-01 04:00:00,Shift 3 (Malam),8664.88,8436.88,0,62.6,7.27,171.56,190.73,228.0,2.631311685793687,Normal,0.0,0.0,Sedang (50-150 NTU)
2026-08-01 05:00:00,Shift 3 (Malam),8664.88,8429.39,0,56.7,7.01,180.03,182.64,235.48999999999978,2.7177525828401525,Normal,0.0,0.0,Sedang (50-150 NTU)
2026-08-01 06:00:00,Shift 3 (Malam),8936.88,8696.35,0,85.0,7.07,251.06,228.77,240.52999999999884,2.6914314615391377,Normal,22.289999999999992,144884.99999999994,Sedang (50-150 NTU)
2026-08-01 07:00:00,Shift 3 (Malam),8815.12,8483.23,0,52.3,7.2,179.9,179.6,331.89000000000124,3.7650083039141977,Normal,0.30000000000001137,1950.000000000074,Sedang (50-150 NTU)
2026-08-01 08:00:00,Shift 1 (Pagi),8629.58,8328.66,0,119.5,7.39,288.15,268.55,300.9200000000001,3.4870758484190434,Normal,19.599999999999966,127399.99999999978,Sedang (50-150 NTU)
2026-08-01 09:00:00,Shift 1 (Pagi),8781.38,8451.37,0,95.3,6.99,264.9,239.28,330.0099999999984,3.7580653610252424,Normal,25.619999999999976,166529.99999999985,Sedang (50-150 NTU)
2026-08-01 10:00:00,Shift 1 (Pagi),8630.49,8365.39,0,87.1,7.03,238.56,223.9,265.10000000000036,3.0716680049452623,Normal,14.659999999999997,95289.99999999997,Sedang (50-150 NTU)
2026-08-01 11:00:00,Shift 1 (Pagi),8630.14,8383.16,0,117.3,7.43,276.27,265.53,246.97999999999956,2.861830746662274,Normal,10.740000000000009,69810.00000000006,Sedang (50-150 NTU)
2026-08-01 12:00:00,Shift 1 (Pagi),8736.29,8427.22,0,38.0,7.15,154.75,157.91,309.0700000000015,3.537771754371724,Normal,0.0,0.0,Rendah (<50 NTU)
2026-08-01 13:00:00,Shift 1 (Pagi),8413.01,7787.0,1,46.5,7.04,176.93,163.56,626.0100000000002,7.440975346516885,Normal (Proses Backwash),13.370000000000005,86905.00000000003,Rendah (<50 NTU)
2026-08-01 14:00:00,Shift 1 (Pagi),8441.26,8197.38,0,97.1,7.35,212.62,232.42,243.88000000000102,2.889142142286827,Normal,0.0,0.0,Sedang (50-150 NTU)
2026-08-01 15:00:00,Shift 1 (Pagi),8615.66,8374.22,0,58.0,7.1,187.9,183.3,241.4400000000005,2.80233899666422,Normal,4.599999999999994,29899.999999999964,Sedang (50-150 NTU)
2026-08-01 16:00:00,Shift 2 (Sore),8548.08,8319.96,0,60.8,7.41,186.74,185.66,228.1200000000008,2.6686694555970556,Normal,1.0800000000000125,7020.000000000081,Sedang (50-150 NTU)
2026-08-01 17:00:00,Shift 2 (Sore),8747.14,8499.3,0,44.3,7.07,177.16,166.99,247.84000000000015,2.833383254412301,Normal,10.169999999999987,66104.99999999991,Rendah (<50 NTU)
2026-08-01 18:00:00,Shift 2 (Sore),8563.8,8310.14,0,52.4,7.17,185.53,174.55,253.65999999999985,2.962002849202455,Normal,10.97999999999999,71369.99999999993,Sedang (50-150 NTU)
2026-08-01 19:00:00,Shift 2 (Sore),8488.15,8201.58,0,120.7,7.39,307.42,265.75,286.5699999999997,3.376118471044924,Normal,41.670000000000016,270855.0000000001,Sedang (50-150 NTU)
2026-08-01 20:00:00,Shift 2 (Sore),8919.85,8689.6,0,96.1,7.15,294.7,244.22,230.25,2.581321434777491,Normal,50.47999999999999,328119.99999999994,Sedang (50-150 NTU)
2026-08-01 21:00:00,Shift 2 (Sore),8666.13,8425.76,0,84.6,7.35,219.21,221.3,240.36999999999898,2.7736717542893885,Normal,0.0,0.0,Sedang (50-150 NTU)
2026-08-01 22:00:00,Shift 2 (Sore),8710.13,8400.77,0,61.7,7.19,236.04,190.45,309.35999999999876,3.5517265528757758,Normal,45.59,296335.0,Sedang (50-150 NTU)
2026-08-01 23:00:00,Shift 2 (Sore),8486.29,8257.92,0,82.4,7.6,217.52,213.74,228.3700000000008,2.6910463818700605,Normal,3.780000000000001,24570.000000000007,Sedang (50-150 NTU)
2026-08-02 00:00:00,Shift 3 (Malam),8618.34,8364.49,0,125.4,7.51,302.2,276.29,253.85000000000036,2.9454628153449547,Normal,25.909999999999968,168414.9999999998,Sedang (50-150 NTU)
2026-08-02 01:00:00,Shift 3 (Malam),8716.64,8020.74,1,58.5,6.93,208.7,186.2,695.8999999999996,7.983580829310373,Normal (Proses Backwash),22.5,146250.0,Sedang (50-150 NTU)
2026-08-02 02:00:00,Shift 3 (Malam),8527.35,8296.99,0,77.2,7.3,264.88,207.66,230.36000000000058,2.701425413522379,Normal,57.22,371930.0,Sedang (50-150 NTU)
2026-08-02 03:00:00,Shift 3 (Malam),8756.35,8528.03,0,159.6,7.04,340.7,328.67,228.3199999999997,2.6074791437071347,Normal,12.029999999999973,78194.99999999983,Tinggi (150-300 NTU)
2026-08-02 04:00:00,Shift 3 (Malam),8609.9,8340.42,0,104.9,7.24,232.09,247.89,269.47999999999956,3.129885364522231,Normal,0.0,0.0,Sedang (50-150 NTU)
2026-08-02 05:00:00,Shift 3 (Malam),8656.25,8405.81,0,62.0,7.21,227.53,189.73,250.4400000000005,2.8931696750902587,Normal,37.80000000000001,245700.0000000001,Sedang (50-150 NTU)
2026-08-02 06:00:00,Shift 3 (Malam),8609.74,8331.44,0,101.3,6.99,246.14,242.9,278.2999999999993,3.232385646953326,Normal,3.2399999999999807,21059.999999999873,Sedang (50-150 NTU)
2026-08-02 07:00:00,Shift 3 (Malam),8977.84,8659.58,0,41.7,7.41,176.24,167.68,318.2600000000002,3.544950678559656,Normal,8.560000000000002,55640.000000000015,Rendah (<50 NTU)
2026-08-02 08:00:00,Shift 1 (Pagi),8697.98,8465.02,0,75.9,7.24,208.08,210.06,232.95999999999913,2.678323012929429,Normal,0.0,0.0,Sedang (50-150 NTU)
2026-08-02 09:00:00,Shift 1 (Pagi),8541.34,8263.33,0,101.3,7.14,253.27,240.91,278.0100000000002,3.254875698660868,Normal,12.360000000000014,80340.00000000009,Sedang (50-150 NTU)
2026-08-02 10:00:00,Shift 1 (Pagi),8823.38,8544.81,0,91.7,7.11,238.4,235.39,278.5699999999997,3.1571801282501686,Normal,3.0100000000000193,19565.000000000127,Sedang (50-150 NTU)
2026-08-02 11:00:00,Shift 1 (Pagi),8516.87,8288.0,0,100.9,7.23,271.79,239.65,228.8700000000008,2.6872548248358936,Normal,32.140000000000015,208910.0000000001,Sedang (50-150 NTU)
2026-08-02 12:00:00,Shift 1 (Pagi),8731.33,8442.22,0,110.5,7.28,281.5,259.1,289.1100000000006,3.3111793964951572,Normal,22.399999999999977,145599.99999999985,Sedang (50-150 NTU)
2026-08-02 13:00:00,Shift 1 (Pagi),8406.05,7786.0,1,94.8,7.18,234.17,228.35,620.0499999999993,7.376234973620183,Normal (Proses Backwash),5.819999999999993,37829.999999999956,Sedang (50-150 NTU)
2026-08-02 14:00:00,Shift 1 (Pagi),8500.77,8234.34,0,93.6,6.63,265.98,229.36,266.4300000000003,3.1341866677959795,Normal,36.620000000000005,238030.00000000003,Sedang (50-150 NTU)
2026-08-02 15:00:00,Shift 1 (Pagi),8729.53,8501.95,0,85.4,7.2,246.54,224.05,227.57999999999993,2.6070132068965903,Normal,22.48999999999998,146184.99999999988,Sedang (50-150 NTU)
2026-08-02 16:00:00,Shift 2 (Sore),8810.77,8537.86,0,50.2,6.91,164.61,176.56,272.90999999999985,3.097459132402728,Normal,0.0,0.0,Sedang (50-150 NTU)
2026-08-02 17:00:00,Shift 2 (Sore),8725.71,8472.8,0,120.7,7.16,315.1,273.15,252.90999999999985,2.8984460863356665,Normal,41.950000000000045,272675.0000000003,Sedang (50-150 NTU)
2026-08-02 18:00:00,Shift 2 (Sore),8682.65,8372.76,0,77.1,6.92,231.26,211.23,309.8899999999994,3.5690716543912218,Normal,20.03,130195.00000000001,Sedang (50-150 NTU)
2026-08-02 19:00:00,Shift 2 (Sore),8654.83,8432.05,0,103.8,6.92,295.0,247.64,222.78000000000065,2.574054025324595,Normal,47.360000000000014,307840.0000000001,Sedang (50-150 NTU)
2026-08-02 20:00:00,Shift 2 (Sore),8478.22,8220.13,0,115.2,7.45,281.24,258.04,258.09000000000015,3.044153135917683,Normal,23.19999999999999,150799.9999999999,Sedang (50-150 NTU)
2026-08-02 21:00:00,Shift 2 (Sore),8592.02,8326.02,0,63.2,7.14,193.14,189.98,266.0,3.0958959592738378,Normal,3.1599999999999966,20539.999999999978,Sedang (50-150 NTU)
2026-08-02 22:00:00,Shift 2 (Sore),8630.9,8333.78,0,65.4,7.12,206.17,193.84,297.119999999999,3.442514685606356,Normal,12.329999999999984,80144.9999999999,Sedang (50-150 NTU)
2026-08-02 23:00:00,Shift 2 (Sore),8858.57,8570.97,0,68.9,7.3,233.33,203.9,287.60000000000036,3.2465736569220582,Normal,29.430000000000007,191295.00000000006,Sedang (50-150 NTU)
2026-08-03 00:00:00,Shift 3 (Malam),8751.54,8456.85,0,130.8,7.13,293.4,288.11,294.6900000000005,3.3672930707052755,Normal,5.289999999999964,34384.99999999977,Sedang (50-150 NTU)
2026-08-03 01:00:00,Shift 3 (Malam),8435.54,7759.44,1,54.1,7.62,182.08,174.28,676.1000000000013,8.01489886835936,Normal (Proses Backwash),7.800000000000011,50700.00000000007,Sedang (50-150 NTU)
2026-08-03 02:00:00,Shift 3 (Malam),8748.61,8431.84,0,140.9,7.15,321.06,302.25,316.77000000000044,3.620803761969049,Normal,18.810000000000002,122265.00000000001,Sedang (50-150 NTU)
2026-08-03 03:00:00,Shift 3 (Malam),8642.24,8390.92,0,85.0,7.27,218.62,221.26,251.3199999999997,2.9080423593883036,Normal,0.0,0.0,Sedang (50-150 NTU)
2026-08-03 04:00:00,Shift 3 (Malam),8598.46,8323.36,0,87.5,7.39,227.97,223.61,275.09999999999854,3.1994101269296893,Normal,4.359999999999985,28339.999999999905,Sedang (50-150 NTU)
2026-08-03 05:00:00,Shift 3 (Malam),8791.75,8475.94,0,113.0,7.52,289.24,264.43,315.8099999999995,3.5921176102596126,Normal,24.810000000000002,161265.00000000003,Sedang (50-150 NTU)
2026-08-03 06:00:00,Shift 3 (Malam),8854.65,8519.39,0,81.1,7.05,260.06,221.11,335.2600000000002,3.7862591971450055,Normal,38.94999999999999,253174.9999999999,Sedang (50-150 NTU)
2026-08-03 07:00:00,Shift 3 (Malam),8839.69,8516.48,0,121.2,7.12,306.81,277.56,323.21000000000095,3.6563499398734676,Normal,29.25,190125.0,Sedang (50-150 NTU)
2026-08-03 08:00:00,Shift 1 (Pagi),8574.12,8318.36,0,63.2,7.45,204.0,189.54,255.76000000000022,2.9829300266383045,Normal,14.460000000000008,93990.00000000006,Sedang (50-150 NTU)
2026-08-03 09:00:00,Shift 1 (Pagi),8653.62,8415.32,0,138.9,7.36,300.12,296.13,238.3000000000011,2.7537608538392147,Normal,3.990000000000009,25935.00000000006,Sedang (50-150 NTU)
2026-08-03 10:00:00,Shift 1 (Pagi),8749.69,8475.28,0,65.1,7.42,228.95,196.09,274.40999999999985,3.1362253976998025,Normal,32.859999999999985,213589.9999999999,Sedang (50-150 NTU)
2026-08-03 11:00:00,Shift 1 (Pagi),8846.33,8539.88,0,141.3,6.93,341.22,306.12,306.4500000000007,3.4641484095664614,Normal,35.10000000000002,228150.00000000015,Sedang (50-150 NTU)
2026-08-03 12:00:00,Shift 1 (Pagi),8628.12,8357.17,0,65.8,7.51,198.87,194.31,270.9500000000007,3.1403133011594724,Normal,4.560000000000002,29640.000000000015,Sedang (50-150 NTU)
